Objective1,Objective2,X_all_values
6946.9164,0.1501,"[45.74749273, 20, 49.10510951, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20.22535953, 85.14730042, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.94143863, 5, 41.21117143]"
6953.0942,0.15,"[77.8601448, 20, 49.10510951, 10, 89.1431191, 3, 54.85970442, 38, 75.89778954, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
6725.7578,0.1517,"[77.8601448, 20, 49.10510951, 10, 88.81936784, 3, 54.85970442, 38, 74.8053645, 20, 86.17227034, 81, 85.81043666, 18.90089388, 79.02970862, 66, 62.33976494, 5, 42.82539224]"
6726.8852,0.1517,"[45.74749273, 20, 48.43514184, 10, 88.81936784, 3, 54.85970442, 38, 75.89778954, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.94143863, 5, 42.82539224]"
6777.0196,0.1509,"[45.74749273, 20, 49.10510951, 10, 89.1431191, 3, 54.85970442, 38, 74.8053645, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
6783.8356,0.1508,"[77.8601448, 20, 49.10510951, 10, 89.1431191, 3, 54.85970442, 38, 75.02244234, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 41.21117143]"
6712.0353,0.1519,"[77.8601448, 20, 49.10510951, 10, 90.55493511, 3, 54.85970442, 38, 75.89778954, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.94143863, 5, 24.0094369]"
6512.5361,0.1626,"[77.8601448, 20, 49.10510951, 10, 90.55493511, 3, 54.85970442, 38, 75.89778954, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.94143863, 5, 24.0094369]"
6681.8996,0.153,"[45.74749273, 20, 48.43514184, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 86.27387137, 81, 85.81043666, 18.90089388, 79.82844787, 66, 62.33976494, 5, 42.53440503]"
6694.1162,0.1521,"[45.74749273, 20, 49.10510951, 10, 89.1431191, 3, 54.85970442, 38, 74.8053645, 20, 98.80360911, 81, 85.81043666, 18.90089388, 81.01804226, 66, 62.33976494, 5, 41.21117143]"
6719.0483,0.1518,"[45.74749273, 20, 62.10039781, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 98.80360911, 81, 85.81043666, 18.90089388, 79.02970862, 66, 62.33976494, 5, 42.82539224]"
6569.2912,0.1617,"[77.8601448, 20, 49.10510951, 10, 90.55493511, 3, 54.85970442, 38, 75.89778954, 20, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.94143863, 5, 26.37525887]"
6505.8991,0.1626,"[77.8601448, 20, 62.10039781, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.94143863, 5, 24.0094369]"
6571.6193,0.1616,"[45.74749273, 20, 62.10039781, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 98.80360911, 81, 85.59829327, 18.90089388, 79.02970862, 66, 61.57392226, 5, 42.82539224]"
6625.5875,0.154,"[77.8601448, 20, 49.10510951, 10, 90.55493511, 3, 54.85970442, 38, 75.89778954, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 24.0094369]"
6505.3205,0.1626,"[77.74889944, 20, 49.10510951, 10, 87.33536259, 3, 53.7198042, 38, 74.8053645, 20.09625704, 98.80360911, 81, 85.81043666, 18.90089388, 79.02970862, 66, 61.55278357, 5, 42.7414739]"
6593.1215,0.1613,"[98.08784445, 20, 61.69371074, 10, 88.81936784, 3, 54.85970442, 38, 75.02244234, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 62.33976494, 5, 40.82343623]"
6605.5377,0.1604,"[45.74749273, 20, 48.43514184, 10, 88.81936784, 3, 54.85970442, 38, 73.13363161, 20.09625704, 86.27387137, 81, 85.81043666, 18.90089388, 80.10608084, 66, 61.57392226, 5, 42.82539224]"
6612.3101,0.1602,"[45.74749273, 20, 48.43514184, 10, 90.55493511, 3, 54.85970442, 38, 75.89778954, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.94143863, 5, 42.82539224]"
6493.4014,0.1628,"[77.74889944, 20, 49.10510951, 10, 87.33536259, 3, 53.7198042, 38, 74.8053645, 20.09625704, 98.80360911, 81, 85.81043666, 18.90089388, 79.02970862, 66, 98.45463664, 5, 40.82343623]"
6505.4561,0.1626,"[45.74749273, 20, 48.43514184, 10, 88.81936784, 3, 54.85970442, 38.04723551, 73.13363161, 20.09625704, 98.80360911, 81, 85.81043666, 18.90089388, 79.02970862, 66, 61.57392226, 5, 24.0094369]"
6552.7319,0.1619,"[45.74749273, 20, 62.10039781, 10, 88.81936784, 3, 54.85970442, 38, 74.8053645, 20.09625704, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 98.45463664, 5, 41.21117143]"
6565.0251,0.1617,"[98.08784445, 20, 48.43514184, 10, 90.55493511, 3, 54.85970442, 38, 75.89778954, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 97.94143863, 5, 40.82343623]"
6515.002,0.1625,"[98.08784445, 20, 62.10039781, 10, 88.81936784, 3, 55.33665329, 38, 75.02244234, 20.09625704, 98.80360911, 81, 85.81043666, 18.90089388, 79.02970862, 66, 98.45463664, 5, 42.29211132]"
6493.0121,0.1628,"[97.46090659, 41, 62.10039781, 10, 88.81936784, 86, 54.85970442, 38, 75.89778954, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 98.45463664, 89, 24.0094369]"
6519.7579,0.1624,"[77.8601448, 20, 49.10510951, 10, 88.81936784, 3, 55.33665329, 38, 75.02244234, 20, 98.80360911, 81, 85.81043666, 18.90089388, 79.02970862, 66, 97.94143863, 5, 24.0094369]"
6533.1855,0.1622,"[80.04614735, 20, 49.10510951, 10, 88.81936784, 3, 55.33665329, 38.03841803, 75.35113776, 20, 98.80360911, 81, 85.81043666, 18.90089388, 79.02970862, 66, 97.94143863, 5, 24.0094369]"
6536.5261,0.1621,"[45.74749273, 20, 48.43514184, 10, 88.81936784, 3, 55.33665329, 38, 75.02244234, 20, 98.80360911, 81, 85.81043666, 18.90089388, 80.10608084, 66, 61.45874602, 5, 40.82343623]"
6486.4179,0.1629,"[45.74749273, 20, 45.46026272, 10, 87.33536259, 3, 53.7198042, 38, 74.8053645, 20.09625704, 98.80360911, 81, 85.81043666, 18.90089388, 79.02970862, 66, 61.57392226, 5, 24.0094369]"
